stg_line_id,ingestion_batch_id,source_provider,focus_version,source_file,loaded_utc,x_source_row_id,AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingAccountType,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,CapacityReservationId,CapacityReservationStatus,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountQuantity,CommitmentDiscountStatus,CommitmentDiscountType,CommitmentDiscountUnit,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceId,InvoiceIssuer,ListCost,ListUnitPrice,PricingCategory,PricingCurrency,PricingCurrencyContractedUnitPrice,PricingCurrencyEffectiveCost,PricingCurrencyListUnitPrice,PricingQuantity,PricingUnit,Provider,Publisher,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,ServiceSubcategory,SkuId,SkuMeter,SkuPriceDetails,SkuPriceId,SubAccountId,SubAccountName,SubAccountType,raw_tags_json
24758,2,Microsoft,1.2,bac8969e-0c10-4d7b-b042-d821f46f7aec__part_1_0001.snappy.parquet,2026-07-01 20:35:54,,,0.148642309651896359,/providers/Microsoft.Billing/billingAccounts/f40347de-77a9-4e8c-ab27-1b6d3e00db70:334a732c-170c-4918-bea0-1e2ca77a6063_2019-05-31/billingProfiles/VS2L-HVSU-BG7-PGB,YPF S.A.,Billing Profile,USD,2026-02-01 23:59:59,2026-01-01 00:00:00,,,Usage,,Virtual Network Peering,Usage-Based,2026-01-10 00:00:00,2026-01-09 00:00:00,,,,,,,,17.695513053797185,GB,0.148642309651896354,0.0084,0.148642309651896359,G138676980,Microsoft,0.176955130537971856,0.01,Standard,USD,,,,17.695513053797185,GB,Microsoft,Microsoft,eastus,East US,/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9/resourcegroups/ypfzprgpado001/providers/microsoft.compute/virtualmachines/slpazrusadm03,slpazrusadm03,Virtual machine,Compute,Virtual Machines,Virtual Machines,DZH318Z0BNVV,Intra-Region Ingress,,DZH318Z0BNVV_0004_Ingress (GB),/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9,YPF,Subscription,"{""Apagado"":""FALSE"",""Application"":""INF_Azure DevOps"",""Business"":""Tecnologias y Operaciones CO"",""CostCenter"":""21951"",""Environment"":""PRO"",""info:support-team-email"":""Plataformas_DevOpsyAutomatizacion_IaC@ypf.com""}"
36423,2,Microsoft,1.2,bac8969e-0c10-4d7b-b042-d821f46f7aec__part_1_0001.snappy.parquet,2026-07-01 20:35:54,,,0.0012357734285295,/providers/Microsoft.Billing/billingAccounts/f40347de-77a9-4e8c-ab27-1b6d3e00db70:334a732c-170c-4918-bea0-1e2ca77a6063_2019-05-31/billingProfiles/VS2L-HVSU-BG7-PGB,YPF S.A.,Billing Profile,USD,2026-02-01 23:59:59,2026-01-01 00:00:00,,,Usage,,Virtual Network Peering,Usage-Based,2026-01-23 00:00:00,2026-01-22 00:00:00,,,,,,,,0.14711588434875011,GB,0.0012357734285295,0.0084,0.0012357734285295,G138676980,Microsoft,0.001471158843487501,0.01,Standard,USD,,,,0.14711588434875011,GB,Microsoft,Microsoft,eastus,East US,/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9/resourcegroups/ypfzprgpado001/providers/microsoft.compute/virtualmachines/slpazrusadm03,slpazrusadm03,Virtual machine,Compute,Virtual Machines,Virtual Machines,DZH318Z0BNVV,Intra-Region Egress,,DZH318Z0BNVV_0004_Egress (GB),/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9,YPF,Subscription,"{""Apagado"":""FALSE"",""Application"":""INF_Azure DevOps"",""Business"":""Tecnologias y Operaciones CO"",""CostCenter"":""21951"",""Environment"":""PRO"",""info:support-team-email"":""Plataformas_DevOpsyAutomatizacion_IaC@ypf.com""}"
68612,2,Microsoft,1.2,bac8969e-0c10-4d7b-b042-d821f46f7aec__part_1_0001.snappy.parquet,2026-07-01 20:35:56,,,0.14112,/providers/Microsoft.Billing/billingAccounts/f40347de-77a9-4e8c-ab27-1b6d3e00db70:334a732c-170c-4918-bea0-1e2ca77a6063_2019-05-31/billingProfiles/VS2L-HVSU-BG7-PGB,YPF S.A.,Billing Profile,USD,2026-02-01 23:59:59,2026-01-01 00:00:00,,,Usage,,Microsoft Defender CSPM,Usage-Based,2026-01-27 00:00:00,2026-01-26 00:00:00,,,,,,,,24,Units/Hour,0.14112,0.00588,0.14112,G138676980,Microsoft,0.168,0.007,Standard,USD,,,,24,Units/Hour,Microsoft,Microsoft,eastus,East US,/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9/resourcegroups/ypfzprgpado001/providers/microsoft.compute/virtualmachines/slpazrusadm03,SLPAZRUSADM03,Virtual machine,Compute,Virtual Machines,Virtual Machines,DZH318Z0K8WN,Standard Node,,DZH318Z0K8WN_000X_1 Node/Hour,/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9,YPF,Subscription,"{""Environment"":""PRO"",""CostCenter"":""21951"",""Application"":""INF_Azure DevOps"",""info:support-team-email"":""Plataformas_DevOpsyAutomatizacion_IaC@ypf.com"",""Business"":""Tecnologias y Operaciones CO"",""Apagado"":""FALSE""}"
70813,2,Microsoft,1.2,bac8969e-0c10-4d7b-b042-d821f46f7aec__part_1_0001.snappy.parquet,2026-07-01 20:35:56,,,0.001282343336194753,/providers/Microsoft.Billing/billingAccounts/f40347de-77a9-4e8c-ab27-1b6d3e00db70:334a732c-170c-4918-bea0-1e2ca77a6063_2019-05-31/billingProfiles/VS2L-HVSU-BG7-PGB,YPF S.A.,Billing Profile,USD,2026-02-01 23:59:59,2026-01-01 00:00:00,,,Usage,,Virtual Network Peering,Usage-Based,2026-01-31 00:00:00,2026-01-30 00:00:00,,,,,,,,0.1526599209755659,GB,0.001282343336194753,0.0084,0.001282343336194753,G138676980,Microsoft,0.001526599209755659,0.01,Standard,USD,,,,0.1526599209755659,GB,Microsoft,Microsoft,eastus,East US,/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9/resourcegroups/ypfzprgpado001/providers/microsoft.compute/virtualmachines/slpazrusadm03,slpazrusadm03,Virtual machine,Compute,Virtual Machines,Virtual Machines,DZH318Z0BNVV,Intra-Region Egress,,DZH318Z0BNVV_0004_Egress (GB),/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9,YPF,Subscription,"{""Apagado"":""FALSE"",""Application"":""INF_Azure DevOps"",""Business"":""Tecnologias y Operaciones CO"",""CostCenter"":""21951"",""Environment"":""PRO"",""info:support-team-email"":""Plataformas_DevOpsyAutomatizacion_IaC@ypf.com""}"
78721,2,Microsoft,1.2,bac8969e-0c10-4d7b-b042-d821f46f7aec__part_1_0001.snappy.parquet,2026-07-01 20:35:56,,,0.15646275503262877,/providers/Microsoft.Billing/billingAccounts/f40347de-77a9-4e8c-ab27-1b6d3e00db70:334a732c-170c-4918-bea0-1e2ca77a6063_2019-05-31/billingProfiles/VS2L-HVSU-BG7-PGB,YPF S.A.,Billing Profile,USD,2026-02-01 23:59:59,2026-01-01 00:00:00,,,Usage,,Virtual Network Peering,Usage-Based,2026-01-07 00:00:00,2026-01-06 00:00:00,,,,,,,,18.62651845626533,GB,0.156462755032628772,0.0084,0.15646275503262877,G138676980,Microsoft,0.186265184562653304,0.01,Standard,USD,,,,18.62651845626533,GB,Microsoft,Microsoft,eastus,East US,/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9/resourcegroups/ypfzprgpado001/providers/microsoft.compute/virtualmachines/slpazrusadm03,slpazrusadm03,Virtual machine,Compute,Virtual Machines,Virtual Machines,DZH318Z0BNVV,Intra-Region Ingress,,DZH318Z0BNVV_0004_Ingress (GB),/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9,YPF,Subscription,"{""Apagado"":""FALSE"",""Application"":""INF_Azure DevOps"",""Business"":""Tecnologias y Operaciones CO"",""CostCenter"":""21951"",""Environment"":""PRO"",""info:support-team-email"":""Plataformas_DevOpsyAutomatizacion_IaC@ypf.com""}"
90721,2,Microsoft,1.2,bac8969e-0c10-4d7b-b042-d821f46f7aec__part_1_0001.snappy.parquet,2026-07-01 20:35:57,,,0.15527734589986503,/providers/Microsoft.Billing/billingAccounts/f40347de-77a9-4e8c-ab27-1b6d3e00db70:334a732c-170c-4918-bea0-1e2ca77a6063_2019-05-31/billingProfiles/VS2L-HVSU-BG7-PGB,YPF S.A.,Billing Profile,USD,2026-02-01 23:59:59,2026-01-01 00:00:00,,,Usage,,Virtual Network Peering,Usage-Based,2026-01-27 00:00:00,2026-01-26 00:00:00,,,,,,,,18.485398321412504,GB,0.155277345899865033,0.0084,0.15527734589986503,G138676980,Microsoft,0.18485398321412504,0.01,Standard,USD,,,,18.485398321412504,GB,Microsoft,Microsoft,eastus,East US,/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9/resourcegroups/ypfzprgpado001/providers/microsoft.compute/virtualmachines/slpazrusadm03,slpazrusadm03,Virtual machine,Compute,Virtual Machines,Virtual Machines,DZH318Z0BNVV,Intra-Region Ingress,,DZH318Z0BNVV_0004_Ingress (GB),/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9,YPF,Subscription,"{""Apagado"":""FALSE"",""Application"":""INF_Azure DevOps"",""Business"":""Tecnologias y Operaciones CO"",""CostCenter"":""21951"",""Environment"":""PRO"",""info:support-team-email"":""Plataformas_DevOpsyAutomatizacion_IaC@ypf.com""}"
93224,2,Microsoft,1.2,bac8969e-0c10-4d7b-b042-d821f46f7aec__part_1_0001.snappy.parquet,2026-07-01 20:35:57,,,0.152683741134032607,/providers/Microsoft.Billing/billingAccounts/f40347de-77a9-4e8c-ab27-1b6d3e00db70:334a732c-170c-4918-bea0-1e2ca77a6063_2019-05-31/billingProfiles/VS2L-HVSU-BG7-PGB,YPF S.A.,Billing Profile,USD,2026-02-01 23:59:59,2026-01-01 00:00:00,,,Usage,,Virtual Network Peering,Usage-Based,2026-01-28 00:00:00,2026-01-27 00:00:00,,,,,,,,18.176635849289596,GB,0.152683741134032606,0.0084,0.152683741134032607,G138676980,Microsoft,0.18176635849289596,0.01,Standard,USD,,,,18.176635849289596,GB,Microsoft,Microsoft,eastus,East US,/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9/resourcegroups/ypfzprgpado001/providers/microsoft.compute/virtualmachines/slpazrusadm03,slpazrusadm03,Virtual machine,Compute,Virtual Machines,Virtual Machines,DZH318Z0BNVV,Intra-Region Ingress,,DZH318Z0BNVV_0004_Ingress (GB),/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9,YPF,Subscription,"{""Apagado"":""FALSE"",""Application"":""INF_Azure DevOps"",""Business"":""Tecnologias y Operaciones CO"",""CostCenter"":""21951"",""Environment"":""PRO"",""info:support-team-email"":""Plataformas_DevOpsyAutomatizacion_IaC@ypf.com""}"
110365,2,Microsoft,1.2,bac8969e-0c10-4d7b-b042-d821f46f7aec__part_1_0001.snappy.parquet,2026-07-01 20:35:58,,,0.145701111045107246,/providers/Microsoft.Billing/billingAccounts/f40347de-77a9-4e8c-ab27-1b6d3e00db70:334a732c-170c-4918-bea0-1e2ca77a6063_2019-05-31/billingProfiles/VS2L-HVSU-BG7-PGB,YPF S.A.,Billing Profile,USD,2026-02-01 23:59:59,2026-01-01 00:00:00,,,Usage,,Virtual Network Peering,Usage-Based,2026-01-14 00:00:00,2026-01-13 00:00:00,,,,,,,,17.345370362512767,GB,0.145701111045107242,0.0084,0.145701111045107246,G138676980,Microsoft,0.173453703625127675,0.01,Standard,USD,,,,17.345370362512767,GB,Microsoft,Microsoft,eastus,East US,/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9/resourcegroups/ypfzprgpado001/providers/microsoft.compute/virtualmachines/slpazrusadm03,slpazrusadm03,Virtual machine,Compute,Virtual Machines,Virtual Machines,DZH318Z0BNVV,Intra-Region Ingress,,DZH318Z0BNVV_0004_Ingress (GB),/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9,YPF,Subscription,"{""Apagado"":""FALSE"",""Application"":""INF_Azure DevOps"",""Business"":""Tecnologias y Operaciones CO"",""CostCenter"":""21951"",""Environment"":""PRO"",""info:support-team-email"":""Plataformas_DevOpsyAutomatizacion_IaC@ypf.com""}"
149669,2,Microsoft,1.2,bac8969e-0c10-4d7b-b042-d821f46f7aec__part_1_0001.snappy.parquet,2026-07-01 20:36:00,,,0.000004078210517764,/providers/Microsoft.Billing/billingAccounts/f40347de-77a9-4e8c-ab27-1b6d3e00db70:334a732c-170c-4918-bea0-1e2ca77a6063_2019-05-31/billingProfiles/VS2L-HVSU-BG7-PGB,YPF S.A.,Billing Profile,USD,2026-02-01 23:59:59,2026-01-01 00:00:00,,,Usage,,Virtual Network Private Link,Usage-Based,2026-01-09 00:00:00,2026-01-08 00:00:00,,,,,,,,0.000485501252114772,GB,0.000004078210517764,0.0084,0.000004078210517764,G138676980,Microsoft,0.000004855012521147,0.01,Standard,USD,,,,0.000485501252114772,GB,Microsoft,Microsoft,eastus,East US,/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9/resourcegroups/ypfzprgpado001/providers/microsoft.compute/virtualmachines/slpazrusadm03,slpazrusadm03,Virtual machine,Compute,Virtual Machines,Virtual Machines,DZH318Z0C0XP,Standard Data Processed - Egress,,DZH318Z0C0XP_0001_Data Processed - Egress (GB),/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9,YPF,Subscription,"{""Apagado"":""FALSE"",""Application"":""INF_Azure DevOps"",""Business"":""Tecnologias y Operaciones CO"",""CostCenter"":""21951"",""Environment"":""PRO"",""info:support-team-email"":""Plataformas_DevOpsyAutomatizacion_IaC@ypf.com""}"
151548,2,Microsoft,1.2,bac8969e-0c10-4d7b-b042-d821f46f7aec__part_1_0001.snappy.parquet,2026-07-01 20:36:00,,,0.149973483954370019,/providers/Microsoft.Billing/billingAccounts/f40347de-77a9-4e8c-ab27-1b6d3e00db70:334a732c-170c-4918-bea0-1e2ca77a6063_2019-05-31/billingProfiles/VS2L-HVSU-BG7-PGB,YPF S.A.,Billing Profile,USD,2026-02-01 23:59:59,2026-01-01 00:00:00,,,Usage,,Virtual Network Peering,Usage-Based,2026-01-11 00:00:00,2026-01-10 00:00:00,,,,,,,,17.85398618504405,GB,0.14997348395437002,0.0084,0.149973483954370019,G138676980,Microsoft,0.1785398618504405,0.01,Standard,USD,,,,17.85398618504405,GB,Microsoft,Microsoft,eastus,East US,/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9/resourcegroups/ypfzprgpado001/providers/microsoft.compute/virtualmachines/slpazrusadm03,slpazrusadm03,Virtual machine,Compute,Virtual Machines,Virtual Machines,DZH318Z0BNVV,Intra-Region Ingress,,DZH318Z0BNVV_0004_Ingress (GB),/subscriptions/40187938-3e37-4f0c-a84b-2431261d87b9,YPF,Subscription,"{""Apagado"":""FALSE"",""Application"":""INF_Azure DevOps"",""Business"":""Tecnologias y Operaciones CO"",""CostCenter"":""21951"",""Environment"":""PRO"",""info:support-team-email"":""Plataformas_DevOpsyAutomatizacion_IaC@ypf.com""}"
